2MASS,logL,Umag,Bmag,Vmag,Imag,U-B,B-V,UV
05271920-6629384,4.134,16.299,15.756,14.274,12.452,0.543,1.482,0
05262024-6930123,4.612,15.234,14.691,12.598,99.999,0.543,2.093,0
05362665-6659336,4.196,15.58,15.033,13.285,10.952,0.547,1.748,2
05310990-7006179,3.631,16.389,15.838,15.054,13.736,0.551,0.784,4
05101523-6759547,3.698,16.966,16.414,15.034,13.603,0.552,1.38,3
05113021-6844113,3.945,16.59,16.034,14.589,12.971,0.556,1.445,0
05305228-6717344,4.763,14.843,14.284,12.856,99.999,0.559,1.428,4
05273265-6922181,3.829,16.629,16.069,14.704,13.288,0.56,1.365,0
05253214-6639375,4.44,16.445,15.884,14.271,99.999,0.561,1.613,4
05171514-6930044,3.673,16.682,16.12,14.981,13.531,0.562,1.139,4
05393762-7038169,3.673,16.863,16.301,15.104,13.604,0.562,1.197,3
05175859-6835425,3.729,16.642,16.079,14.882,13.484,0.563,1.197,0
04462252-6934285,3.765,16.85,16.287,14.944,99.999,0.563,1.343,3
04493290-6839590,4.538,15.988,15.424,13.712,11.715,0.564,1.712,3
05160741-6941023,3.935,15.96,15.392,14.565,13.113,0.568,0.827,0
05421643-7024103,3.889,16.287,15.715,14.4,13.095,0.572,1.315,3
05140540-6930450,3.939,16.815,16.242,14.747,12.933,0.573,1.495,0
05421758-6930305,3.875,17.009,16.435,14.978,13.318,0.574,1.457,4
04484463-6904387,3.759,16.985,16.407,14.97,13.498,0.578,1.437,4
05102637-7036242,3.723,16.167,15.587,14.628,13.457,0.58,0.959,3
05114936-6918066,3.652,17.026,16.438,15.067,13.613,0.588,1.371,0
05104754-6921227,4.257,14.913,14.324,13.466,11.392,0.589,0.858,0
05332109-6744417,3.671,17.091,16.495,15.238,13.736,0.596,1.257,4
05044101-6903151,3.939,17.362,16.758,16.265,99.999,0.604,0.493,4
05042793-6921222,3.63,17.26,16.655,14.683,14.002,0.605,1.972,4
05494243-6905224,3.761,16.66,16.049,14.924,13.477,0.611,1.125,3
05385731-6907096,3.88,14.514,13.891,14.134,12.47,0.623,-0.243,2
05122197-6915272,3.743,16.931,16.304,14.585,13.339,0.627,1.719,0
05000586-6744395,3.711,16.693,16.066,14.724,13.397,0.627,1.342,3
05071163-6857484,3.926,16.76,16.131,14.652,13.166,0.629,1.479,0
05180885-6543041,3.634,17.233,16.603,15.305,13.76,0.63,1.298,3
05383892-6727394,4.304,15.949,15.317,13.797,10.617,0.632,1.52,0
05255788-6617240,4.476,16.043,15.409,13.698,10.735,0.634,1.711,3
05314032-6642402,4.607,15.48,14.843,13.46,9.581,0.637,1.383,3
05032465-6705099,3.723,16.999,16.354,14.947,13.466,0.645,1.407,3
05260207-6601005,3.755,16.492,15.847,14.645,13.382,0.645,1.202,3
05113830-7200570,4.273,15.961,15.314,13.914,12.115,0.647,1.4,3
05065010-6757234,3.596,17.072,16.421,15.188,13.846,0.651,1.233,0
04535047-6708286,3.657,16.787,16.133,14.935,13.602,0.654,1.198,3
05244598-6948323,3.775,16.95,16.288,15.053,13.266,0.662,1.235,4
05454418-6730245,3.595,17.294,16.632,15.309,13.949,0.662,1.323,4
05462930-6727191,3.66,16.611,15.947,14.701,13.611,0.664,1.246,3
05331961-6705219,4.427,15.493,14.824,13.476,99.999,0.669,1.348,4
05431391-6718261,4.922,15.875,15.198,13.174,99.999,0.677,2.024,3
05291056-6733462,3.883,16.644,15.961,14.54,12.711,0.683,1.421,4
05373390-6736592,3.661,18.253,17.567,15.476,14.104,0.686,2.091,4
05054053-6838228,3.623,16.502,15.815,14.925,13.687,0.687,0.89,0
04455520-6903099,3.975,16.776,16.086,14.681,12.839,0.69,1.405,4
05094746-6853363,4.038,16.951,16.255,14.529,12.962,0.696,1.726,4
05051024-7035551,4.247,16.282,15.585,14.055,12.468,0.697,1.53,3
05160527-6619107,3.67,16.948,16.249,15.016,13.59,0.699,1.233,0
05510062-6951328,3.692,17.001,16.301,15.034,13.631,0.7,1.267,3
05161895-6715468,4.111,16.433,15.732,14.239,12.586,0.701,1.493,3
05443937-6717567,3.702,16.963,16.262,14.945,13.875,0.701,1.317,4
05451894-6800426,4.199,16.264,15.561,14.083,12.571,0.703,1.478,2
04551016-7005090,3.621,20.04,19.337,17.331,14.414,0.703,2.006,4
05015564-6729121,3.777,17.439,16.733,15.197,13.484,0.706,1.536,3
05382599-6922434,4.691,15.573,14.864,13.346,11.284,0.709,1.518,3
05195362-6936300,3.757,16.933,16.223,14.783,13.653,0.71,1.44,0
05281487-6632461,4.717,16.859,16.144,14.328,13.804,0.715,1.816,4
04463338-7029584,3.711,16.74,16.021,14.846,13.519,0.719,1.175,3
05075039-6913500,4.413,15.783,15.064,13.566,11.88,0.719,1.498,4
05140200-6939559,4.525,16.023,15.302,13.629,11.242,0.721,1.673,0
05054004-6907306,3.927,17.035,16.314,14.857,13.313,0.721,1.457,4
05333047-6742281,3.808,17.197,16.475,15.043,13.427,0.722,1.432,4
05524123-6958462,3.675,16.839,16.114,14.85,13.42,0.725,1.264,3
05251050-6639308,3.615,17.216,16.489,15.245,13.86,0.727,1.244,4
05243824-7000286,3.666,16.458,15.725,14.974,13.638,0.733,0.751,3
05400989-6750598,4.27,15.947,15.213,13.73,11.847,0.734,1.483,3
05352104-6804454,3.595,17.64,16.903,15.497,14.053,0.737,1.406,4
05282308-6701357,3.63,17.01,16.268,15.025,13.729,0.742,1.243,4
05321389-6907233,4.289,16.45,15.707,14.125,10.891,0.743,1.582,4
05111126-6905448,3.764,16.764,16.019,14.772,13.455,0.745,1.247,4
05270242-6625292,4.381,15.868,15.121,13.663,99.999,0.747,1.458,3
04582286-6756053,3.617,17.357,16.609,15.159,13.757,0.748,1.45,4
05281589-6912009,4.85,15.473,14.724,13.056,99.999,0.749,1.668,0
05011496-6840141,4.042,16.935,16.178,14.262,12.744,0.757,1.916,4
05185816-6947475,3.96,17.707,16.95,15.601,13.249,0.757,1.349,4
05293309-6849406,3.598,16.803,16.044,14.853,13.643,0.759,1.191,0
05253628-6954023,3.695,17.148,16.388,15.203,13.401,0.76,1.185,0
05223824-6811490,3.649,17.265,16.501,15.147,13.684,0.764,1.354,4
05085799-6846128,4.463,16.143,15.374,13.726,10.962,0.769,1.648,4
04560994-6944474,4.492,15.493,14.724,13.276,11.7,0.769,1.448,1
05370335-7046539,3.609,17.725,16.951,15.453,13.882,0.774,1.498,0
05233766-6846381,4.079,16.509,15.734,14.249,12.134,0.775,1.485,4
05294185-6630047,3.609,17.239,16.463,15.207,13.87,0.776,1.256,4
05421915-7004151,3.589,17.479,16.703,15.309,13.973,0.776,1.394,4
05225885-6835426,3.771,16.749,15.966,14.646,13.341,0.783,1.32,4
05055448-6834283,3.626,17.574,16.789,15.361,13.837,0.785,1.428,0
05352929-6943533,4.647,15.513,14.727,13.158,11.051,0.786,1.569,4
05275171-6915075,4.398,15.843,15.054,13.506,11.872,0.789,1.548,0
05492777-7017129,3.648,17.207,16.418,15.084,99.999,0.789,1.334,3
05233577-7044553,4.577,15.64,14.848,13.223,10.589,0.792,1.625,2
05153596-7031541,3.925,16.701,15.905,14.707,13.092,0.796,1.198,3
05332004-6839536,3.72,17.095,16.297,14.923,13.572,0.798,1.374,4
04553219-6802104,3.616,17.111,16.313,15.082,13.771,0.798,1.231,3
05383749-6718160,3.712,17.184,16.381,15.027,13.528,0.803,1.354,4
05310806-6956298,3.64,16.738,15.934,15.111,15.372,0.804,0.823,4
05185836-6941452,4.764,15.713,14.904,13.156,11.007,0.809,1.748,4
05291783-6901353,4.607,15.923,15.114,13.336,99.999,0.809,1.778,4
05075132-6905369,3.932,16.952,16.143,14.793,13.37,0.809,1.35,0
05014386-6907257,3.645,17.098,16.288,14.976,13.918,0.81,1.312,4
05063300-6821450,4.249,16.102,15.292,13.676,11.937,0.81,1.616,1
04563284-6827137,4.495,16.403,15.59,14.029,11.782,0.813,1.561,3
04420044-6850284,3.631,19.756,18.943,17.337,14.226,0.813,1.606,4
05111578-6921047,3.775,16.93,16.111,14.71,13.331,0.819,1.401,0
05181894-6932082,4.105,16.669,15.849,14.136,12.784,0.82,1.713,0
05230369-6921519,3.659,18.156,17.335,15.295,14.069,0.821,2.04,0
05192503-6938096,3.993,16.712,15.889,14.532,12.991,0.823,1.357,4
05000052-6715210,3.62,17.182,16.358,15.065,13.723,0.824,1.293,3
