2MASS,logL,Umag,Bmag,Vmag,Imag,U-B,B-V,UV
05142589-6825113,4.024,18.067,16.17,14.436,12.921,1.897,1.734,4
05173326-6844423,3.834,18.269,16.372,14.76,13.367,1.897,1.612,0
05544418-6959571,4.377,17.474,15.577,13.853,11.126,1.897,1.724,4
04500856-6853439,3.951,18.393,16.496,14.817,13.086,1.897,1.679,4
04574783-6857056,3.629,18.725,16.828,15.293,13.773,1.897,1.535,0
05081280-6838048,3.985,17.99,16.092,14.416,12.877,1.898,1.676,0
04491497-6711053,3.813,18.582,16.684,15.024,13.339,1.898,1.66,4
04464454-7013252,3.571,19.833,17.935,16.118,14.465,1.898,1.817,4
05302902-6651456,4.562,17.037,15.139,13.42,99.999,1.898,1.719,4
05344227-7122109,3.63,18.743,16.844,15.318,13.763,1.899,1.526,4
05183934-6941430,4.466,17.322,15.423,13.658,11.844,1.899,1.765,0
05254603-6828017,4.61,16.923,15.024,13.236,99.999,1.899,1.788,0
04523973-6927305,4.591,17.614,15.715,13.895,11.659,1.899,1.82,3
05344441-7011540,3.716,18.413,16.514,15.049,13.656,1.899,1.465,4
05115452-6823102,4.132,17.717,15.817,14.199,12.566,1.9,1.618,4
05150687-6911311,4.199,17.52,15.62,13.994,12.199,1.9,1.626,0
05044363-6842152,4.185,17.616,15.716,14.049,12.379,1.9,1.667,4
05081242-6909062,3.916,17.946,16.046,14.567,13.337,1.9,1.479,0
05420251-6817469,4.031,17.754,15.853,14.325,12.758,1.901,1.528,4
04525366-6655520,5.482,14.992,13.091,11.139,99.999,1.901,1.952,1
05191890-6931075,4.284,17.755,15.853,14.202,12.29,1.902,1.651,4
05023227-6849261,4.318,17.382,15.48,13.792,12.159,1.902,1.688,4
05182103-6911169,4.094,18.165,16.262,14.465,12.822,1.903,1.797,0
05401240-6659037,3.578,18.618,16.715,15.404,13.945,1.903,1.311,4
05204682-6938183,4.289,17.525,15.621,14.057,12.327,1.904,1.564,0
05235557-6854363,4.141,17.797,15.893,14.259,11.911,1.904,1.634,0
05075206-6849229,4.039,18.355,16.451,14.737,12.903,1.904,1.714,0
05171746-6850385,3.883,18.089,16.185,14.594,13.193,1.904,1.591,4
05281564-6919059,3.678,18.457,16.553,15.112,13.743,1.904,1.441,4
05081695-6904338,3.632,18.704,16.8,15.305,14.048,1.904,1.495,4
05024047-7019204,4.347,17.263,15.359,13.685,11.979,1.904,1.674,2
04534249-6802234,4.136,17.986,16.081,14.34,12.614,1.905,1.741,4
05045802-7059568,4.076,17.928,16.023,14.325,12.78,1.905,1.698,0
05444966-6951260,3.984,18.794,16.888,14.908,13.073,1.906,1.98,4
05240934-6843532,3.611,18.692,16.786,15.217,13.845,1.906,1.569,0
04483239-6912491,4.298,17.658,15.752,14.029,12.232,1.906,1.723,4
05411791-6640500,4.207,18.226,16.319,14.468,11.848,1.907,1.851,4
05011346-6914166,3.888,18.361,16.454,14.697,13.177,1.907,1.757,0
05103262-6930570,3.785,18.52,16.613,14.971,13.464,1.907,1.642,4
05305885-6852463,3.764,18.978,17.071,15.41,13.601,1.907,1.661,4
05275391-6909264,3.544,18.9,16.993,15.506,13.891,1.907,1.487,4
05184568-6928265,4.196,17.555,15.647,14.058,12.56,1.908,1.589,4
04543943-6904364,4.773,16.613,14.704,12.686,10.835,1.909,2.018,4
05471428-7034084,3.828,18.691,16.782,15.101,13.373,1.909,1.681,4
05051217-6858048,3.63,18.709,16.8,15.292,13.86,1.909,1.508,0
04544969-6930026,4.913,16.663,14.754,12.776,10.683,1.909,1.978,4
05362603-6919291,4.736,17.692,15.781,13.65,11.475,1.911,2.131,4
05361620-6750240,4.104,17.702,15.791,14.23,12.518,1.911,1.561,4
05010714-6905192,3.625,18.387,16.476,14.998,13.79,1.911,1.478,4
05055149-6912235,3.607,18.925,17.014,15.413,13.846,1.911,1.601,0
05255399-7204188,4.615,17.088,15.177,13.324,99.999,1.911,1.853,0
05222579-6929584,3.955,18.048,16.136,14.733,13.062,1.912,1.403,4
05071497-7028434,3.897,18.547,16.635,14.986,13.228,1.912,1.649,0
05311017-6652570,4.353,17.24,15.328,13.813,99.999,1.912,1.515,4
05093751-6900204,3.635,18.603,16.691,15.151,13.806,1.912,1.54,0
05113428-6919302,3.819,18.563,16.65,14.89,13.288,1.913,1.76,0
04531528-6717244,4.317,17.734,15.821,14.063,12.151,1.913,1.758,4
05044705-7001070,4.121,17.939,16.025,14.237,12.552,1.914,1.788,0
05303822-6930278,3.966,18.558,16.643,14.889,13.047,1.915,1.754,0
05275397-6630017,4.088,17.821,15.906,14.332,12.69,1.915,1.574,0
05010455-6910236,4.139,18.306,16.39,14.51,12.631,1.916,1.88,4
04510202-6907511,4.124,18.244,16.328,14.563,12.675,1.916,1.765,4
05011152-6834180,3.778,18.379,16.463,14.913,13.409,1.916,1.55,4
05223147-6918172,3.72,18.503,16.587,15.055,13.547,1.916,1.532,0
04444904-6926076,3.849,18.491,16.574,14.951,13.328,1.917,1.623,4
05103282-6707380,4.44,17.5,15.583,13.792,11.787,1.917,1.791,0
05043014-7037112,4.011,17.869,15.952,14.367,12.812,1.917,1.585,4
04440698-6853077,3.83,18.666,16.749,15.094,13.362,1.917,1.655,4
05011669-6935360,3.661,18.753,16.836,15.058,13.59,1.917,1.778,0
05405747-7030108,3.757,18.643,16.725,15.18,13.534,1.918,1.545,4
04523702-6946136,4.677,16.923,15.004,13.136,11.238,1.919,1.868,4
05281813-6950549,4.1,18.236,16.317,14.805,12.825,1.919,1.512,0
05034509-6852382,3.789,18.424,16.505,14.945,13.445,1.919,1.56,4
05050841-6855599,4.171,17.507,15.588,13.977,12.459,1.919,1.611,4
05391563-6747357,3.969,17.982,16.062,14.458,12.881,1.92,1.604,4
05511387-6901328,3.675,18.893,16.973,15.352,13.73,1.92,1.621,4
05474678-6913515,3.561,19.443,17.523,15.849,14.062,1.92,1.674,4
05001057-6926571,4.104,18.229,16.308,14.487,12.691,1.921,1.821,4
05243922-6834594,3.861,18.514,16.593,14.962,13.276,1.921,1.631,4
05343325-6907043,4.455,17.485,15.564,13.789,99.999,1.921,1.775,4
05250624-6830043,4.139,17.791,15.869,14.341,12.246,1.922,1.528,3
05151136-6902435,3.623,18.601,16.679,15.191,13.825,1.922,1.488,0
05423705-7124452,3.657,19.227,17.305,15.586,13.878,1.922,1.719,4
05082940-6905342,3.722,18.593,16.671,15.139,13.885,1.922,1.532,0
05462436-6658280,3.98,18.412,16.489,14.83,13.02,1.923,1.659,4
05303810-6624346,3.753,19,17.077,15.355,13.637,1.923,1.722,4
04543754-6840403,3.643,18.715,16.79,15.248,13.735,1.925,1.542,4
04472322-6922345,3.666,18.983,17.058,15.488,13.818,1.925,1.57,4
05034057-7140046,3.566,19.024,17.099,15.475,13.936,1.925,1.624,0
04553538-6908447,3.564,18.984,17.059,15.472,13.953,1.925,1.587,0
05300007-6659322,4.194,17.54,15.614,14.026,11.672,1.926,1.588,4
05002316-6555133,3.838,18.636,16.71,15.066,13.33,1.926,1.644,4
05015864-6602236,4.407,17.539,15.613,13.885,10.472,1.926,1.728,4
05315085-6751016,3.774,18.475,16.549,15.031,13.507,1.926,1.518,4
05334114-6918567,4.655,17.403,15.476,13.552,11.479,1.927,1.924,4
04523318-6903149,4.281,17.554,15.627,13.883,12.101,1.927,1.744,4
05331974-6921396,4.436,17.666,15.739,13.838,12.026,1.927,1.901,4
05232575-6745032,3.949,17.947,16.02,14.485,12.98,1.927,1.535,0
05082937-6835485,3.907,18.147,16.22,14.633,13.144,1.927,1.587,4
05053622-6911504,3.944,18.441,16.514,14.774,13.235,1.927,1.74,4
05041413-6716143,5.482,15.876,13.949,11.861,99.999,1.927,2.088,4
05393883-7109086,4.48,17.555,15.627,13.719,11.747,1.928,1.908,4
04510092-6813186,4.232,18.013,16.085,14.254,12.377,1.928,1.831,4
05142347-6955135,3.774,18.727,16.799,15.075,13.447,1.928,1.724,4
05372635-6847402,4.929,17.243,15.314,13.286,10.193,1.929,2.028,4
05063726-7000527,4.911,16.543,14.614,12.716,99.999,1.929,1.898,4
05183070-6806276,4.987,16.695,14.766,12.844,10.574,1.929,1.922,0
05025916-6608392,4.035,17.925,15.996,14.792,12.044,1.929,1.204,4
04455346-6733102,4.326,17.984,16.055,14.216,12.059,1.929,1.839,4
04480156-6937556,4.165,17.728,15.799,14.081,12.319,1.929,1.718,4
05054414-6855232,3.967,18.013,16.084,14.48,12.694,1.929,1.604,0
05274482-6613125,3.976,18.385,16.456,14.837,12.726,1.929,1.619,0
05244090-6951206,3.767,18.295,16.366,15.052,13.358,1.929,1.314,0
05091375-6912110,4.005,18.707,16.777,14.937,13.017,1.93,1.84,4
04490714-6900031,3.702,18.875,16.945,15.343,13.639,1.93,1.602,4
05475678-6723569,4.886,16.324,14.394,12.582,10.84,1.93,1.812,4
05521432-6812153,4.984,16.89,14.959,13.017,10.59,1.931,1.942,0
04515957-6835058,4.086,18.097,16.166,14.564,12.519,1.931,1.602,4
05254326-6937276,3.649,18.717,16.785,15.354,13.884,1.932,1.431,0
05060560-6852153,3.665,18.595,16.662,15.158,13.741,1.933,1.504,4
05075583-6854219,4.126,17.926,15.992,14.22,12.75,1.934,1.772,4
05231433-6726260,4.326,17.441,15.507,13.82,10.642,1.934,1.687,4
05295302-7008330,4.428,17.4,15.466,13.709,11.851,1.934,1.757,0
04500072-6857292,4.499,17.28,15.346,13.57,11.732,1.934,1.776,4
05040461-7010444,3.917,18.663,16.729,15.114,12.859,1.934,1.615,4
05181429-6854069,3.648,18.213,16.279,14.939,13.692,1.934,1.34,0
05021931-6937028,4.448,17.399,15.464,13.658,11.824,1.935,1.806,4
05333087-6619569,4.33,17.565,15.63,13.945,99.999,1.935,1.685,4
05413239-6931548,3.912,18.7,16.764,14.946,13.239,1.936,1.818,4
05123496-6844237,3.575,19.113,17.177,15.578,13.978,1.936,1.599,4
05133581-6857113,3.913,18.342,16.405,14.73,13.16,1.937,1.675,0
05063463-7001281,4.198,17.587,15.65,13.892,99.999,1.937,1.758,4
05253178-6614244,3.769,18.739,16.802,15.178,13.48,1.937,1.624,4
05264208-6856387,4.817,16.993,15.054,13.166,99.999,1.939,1.888,0
05444957-6931189,4.189,18.115,16.176,14.406,12.474,1.939,1.77,4
05112196-6857528,3.893,18.209,16.27,14.603,13.123,1.939,1.667,4
05065138-7026138,3.685,18.962,17.023,15.42,13.674,1.939,1.603,4
04485170-6916290,4.188,18.154,16.214,14.476,12.511,1.94,1.738,4
05060791-6820579,4.414,17.667,15.726,13.842,11.993,1.941,1.884,0
05064762-6908497,4.225,17.943,16.002,14.276,99.999,1.941,1.726,0
05301965-7133125,4.631,17.177,15.235,13.449,11.412,1.942,1.786,4
04525354-6927386,4.072,18.245,16.303,14.591,12.841,1.942,1.712,4
04502184-6905424,3.769,18.748,16.806,15.147,13.523,1.942,1.659,4
04483920-6844326,4.437,17.513,15.571,13.767,11.524,1.942,1.804,3
04521505-7048070,4.417,17.761,15.817,13.937,11.994,1.944,1.88,4
04481981-6948502,4.258,17.546,15.602,13.953,12.328,1.944,1.649,4
05104217-6903055,4.105,17.749,15.805,14.222,12.676,1.944,1.583,0
05261560-6945026,3.677,18.544,16.6,15.082,13.801,1.944,1.518,4
05493522-6817110,4.444,17.506,15.562,13.715,11.891,1.944,1.847,0
05060145-7034082,4.281,17.475,15.531,13.972,12.28,1.944,1.559,0
05143517-6845202,4.04,18.088,16.144,14.477,12.848,1.944,1.667,0
05190850-6812162,3.549,19.394,17.449,15.758,14.047,1.945,1.691,4
05401224-7013325,3.791,18.805,16.859,15.137,13.521,1.946,1.722,4
05332578-6859576,4.541,17.333,15.387,13.504,99.999,1.946,1.883,4
05003848-6549328,4.915,16.566,14.619,12.569,10.703,1.947,2.05,4
05280012-6944223,3.838,18.046,16.099,14.81,13.152,1.947,1.289,0
04493464-6952029,3.841,18.435,16.488,14.913,13.302,1.947,1.575,4
05273434-6653300,5.124,16.403,14.455,12.971,10.886,1.948,1.484,4
05100840-7029524,4.33,17.179,15.231,13.609,12.017,1.948,1.622,0
05400675-6916247,4.495,18.089,16.14,14.119,11.931,1.949,2.021,0
05205787-6902434,3.98,18.031,16.082,14.434,12.978,1.949,1.648,0
05482876-6913235,4.376,17.512,15.563,13.766,11.917,1.949,1.797,4
05072558-6906123,3.704,18.85,16.901,15.362,13.905,1.949,1.539,0
05113937-7113199,4.74,16.939,14.989,12.766,11.065,1.95,2.223,4
05135102-6906567,4.031,17.708,15.758,14.217,12.854,1.95,1.541,0
05271268-6949083,3.771,18.289,16.339,15.003,13.306,1.95,1.336,0
05360350-7003039,3.616,19.138,17.188,15.465,13.926,1.95,1.723,3
05062613-6906261,4.141,18.071,16.12,14.446,12.689,1.951,1.674,4
05220639-7036186,3.872,18.389,16.438,14.823,13.184,1.951,1.615,4
05273444-7126056,4.054,18.188,16.236,14.552,12.876,1.952,1.684,4
05383189-7052580,3.689,18.435,16.483,14.977,13.593,1.952,1.506,4
05304159-6722103,4.298,17.494,15.542,13.879,10.784,1.952,1.663,4
05050451-6841292,3.786,18.57,16.617,14.976,13.296,1.953,1.641,4
05082093-6913375,4.538,17.562,15.608,13.639,11.747,1.954,1.969,4
05144422-6931533,3.989,18.295,16.341,14.631,12.909,1.954,1.71,4
05193987-6851090,3.905,18.324,16.37,14.709,13.17,1.954,1.661,4
05332620-6949127,3.863,18.446,16.492,14.987,13.429,1.954,1.505,4
05305718-6742501,3.899,18.441,16.486,14.846,13.197,1.955,1.64,4
05295995-6805023,3.843,18.6,16.645,14.99,13.382,1.955,1.655,4
05223394-6754323,4.407,17.66,15.704,13.966,12.016,1.956,1.738,4
05223329-6757338,3.815,18.707,16.751,15.098,13.39,1.956,1.653,4
05163295-7112466,4.753,17.312,15.356,13.403,11.2,1.956,1.953,4
05230120-6618108,4.472,17.548,15.591,13.874,99.999,1.957,1.717,0
05053231-6830486,3.536,19.332,17.375,15.785,14.105,1.957,1.59,0
04465895-6934238,4.294,18.099,16.142,14.319,99.999,1.957,1.823,4
05190741-6944471,3.953,18.449,16.491,14.947,12.928,1.958,1.544,4
05410178-6819409,4.323,17.255,15.296,13.693,12.006,1.959,1.603,4
04434632-6905347,3.688,18.772,16.812,15.263,13.666,1.96,1.549,4
05492713-6759429,3.981,18.416,16.456,14.757,12.986,1.96,1.699,4
05403622-7113403,3.9,18.761,16.8,15.024,13.242,1.961,1.776,4
05173818-6908280,4.021,18.04,16.079,14.56,99.999,1.961,1.519,0
05210395-6927240,4.129,18.619,16.657,14.951,12.451,1.962,1.706,4
05332015-7008403,3.698,18.696,16.734,15.447,13.694,1.962,1.287,4
05104432-6903164,3.624,18.716,16.754,15.247,13.799,1.962,1.507,4
05371479-6958168,3.568,19.13,17.168,15.457,14.036,1.962,1.711,4
04441474-6948013,4.173,17.945,15.982,14.231,12.572,1.963,1.751,4
05252821-6953191,3.878,18.152,16.189,14.876,12.714,1.963,1.313,4
05181134-6927549,4.116,18.199,16.236,14.707,12.933,1.963,1.529,4
05090399-6849489,3.86,18.501,16.538,14.79,13.316,1.963,1.748,0
05161459-6931220,3.832,18.956,16.993,15.235,13.334,1.963,1.758,0
05194443-6925427,4.28,17.383,15.419,13.877,12.261,1.964,1.542,4
05235715-7149267,4.326,17.768,15.803,13.934,12.137,1.965,1.869,4
05134678-6921363,4.459,17.597,15.632,13.7,12.152,1.965,1.932,4
05041078-7039541,3.85,18.761,16.795,15.08,13.302,1.966,1.715,4
05273470-7205573,3.618,19.266,17.3,15.626,13.887,1.966,1.674,4
05210091-6953266,4.2,17.962,15.996,14.384,12.359,1.966,1.612,0
05232512-6925355,4.531,17.434,15.468,13.783,11.767,1.966,1.685,4
05034985-6603565,4.783,16.456,14.488,12.852,9.164,1.968,1.636,4
05010991-6818548,4.232,17.939,15.971,14.198,12.284,1.968,1.773,4
05421618-7036168,3.953,18.424,16.456,14.85,13.131,1.968,1.606,4
05200961-6853553,3.859,18.328,16.36,14.763,13.215,1.968,1.597,4
05351268-6710447,3.916,18.593,16.625,14.907,13.574,1.968,1.718,4
05104995-6852551,3.698,18.751,16.783,15.042,13.63,1.968,1.741,4
04542171-6845241,4.475,17.273,15.304,13.536,11.816,1.969,1.768,4
05302628-6930243,4.86,16.703,14.734,12.836,99.999,1.969,1.898,4
05304516-6707593,4.854,17.153,15.184,13.286,99.999,1.969,1.898,4
04575104-6950553,4.295,17.745,15.776,13.98,12.081,1.969,1.796,4
05313473-6724532,4.768,17.486,15.517,13.68,99.999,1.969,1.837,4
05415731-6710410,4.246,17.806,15.836,14.136,11.314,1.97,1.7,4
05130403-6859262,3.896,18.847,16.877,15.159,13.382,1.97,1.718,0
05164161-6938508,3.692,18.706,16.735,15.192,13.491,1.971,1.543,0
05245313-7146520,3.594,19.332,17.361,15.641,13.951,1.971,1.72,0
05443240-7036228,5.063,17.584,15.613,13.722,99.999,1.971,1.891,4
05354709-6745024,3.964,18.174,16.202,14.594,12.992,1.972,1.608,4
05251921-6952101,3.844,18.278,16.304,14.901,13.023,1.974,1.403,4
05373559-7113415,3.811,18.793,16.819,15.103,13.485,1.974,1.716,4
05211039-6951176,3.717,18.788,16.814,15.105,13.651,1.974,1.709,0
05054240-6840178,3.833,18.505,16.53,14.916,13.162,1.975,1.614,0
05212915-6854554,3.81,18.485,16.51,14.964,13.432,1.975,1.546,4
04574769-7019246,3.732,18.807,16.832,15.229,13.522,1.975,1.603,4
05190267-6629467,3.609,18.892,16.917,15.339,13.809,1.975,1.578,0
04555272-7052060,4.447,18.044,16.069,14.123,11.804,1.975,1.946,4
05205891-6545463,4.469,17.11,15.133,13.367,11.728,1.977,1.766,4
05145431-7210150,3.949,18.915,16.938,15.206,13.168,1.977,1.732,0
05113937-7002025,4.339,17.714,15.736,13.91,10.879,1.978,1.826,4
05370906-6826410,4.677,17.173,15.194,13.306,11.308,1.979,1.888,4
04484317-6910311,4.29,18.008,16.029,14.246,12.186,1.979,1.783,4
05551049-6832473,3.826,18.673,16.694,15.084,13.365,1.979,1.61,4
05262822-6907576,4.856,17.063,15.084,13.126,99.999,1.979,1.958,0
05462768-7055309,3.748,18.905,16.925,15.232,13.576,1.98,1.693,4
05123163-6908215,3.675,18.988,17.008,15.336,13.823,1.98,1.672,0
05124633-7150221,4.189,17.833,15.85,14.281,99.999,1.983,1.569,3
05242957-6720280,4.124,18.218,16.235,14.502,12.112,1.983,1.733,4
04503339-6959578,3.745,18.172,16.189,14.939,13.482,1.983,1.25,4
05031676-6852267,3.753,18.802,16.818,15.173,13.622,1.984,1.645,4
04550331-6722219,4.457,17.979,15.995,14.125,12.001,1.984,1.87,4
05361294-6951337,4.087,17.889,15.905,14.481,12.77,1.984,1.424,4
05272536-6522247,3.669,18.916,16.931,15.333,13.715,1.985,1.598,4
05485505-6924253,4.341,17.752,15.766,13.998,12.16,1.986,1.768,4
05321293-6659180,4.915,16.892,14.906,12.835,99.999,1.986,2.071,4
05335736-7050132,4.292,17.355,15.368,13.692,12.251,1.987,1.676,4
05412263-6922524,3.841,18.495,16.508,14.957,13.332,1.987,1.551,4
05040502-7022461,5.04,16.503,14.514,12.556,10.36,1.989,1.958,4
05193300-6852403,3.888,18.356,16.367,14.747,13.174,1.989,1.62,0
05391607-7129270,4.896,16.9,14.91,13.023,10.818,1.99,1.887,4
05110099-6912124,3.806,18.539,16.549,14.91,13.493,1.99,1.639,0
05281388-6926553,4.045,17.988,15.996,14.346,12.801,1.992,1.65,4
05205612-6857470,3.729,18.799,16.807,15.2,13.642,1.992,1.607,4
05201663-6854149,3.909,18.431,16.438,14.781,13.15,1.993,1.657,4
05300502-6647429,4.501,17.16,15.166,13.457,9.513,1.994,1.709,4
05032573-6858185,4.018,18.039,16.045,14.485,12.947,1.994,1.56,4
05055608-7032372,4.317,17.431,15.437,13.845,12.132,1.994,1.592,4
05183534-6829083,3.998,17.992,15.998,14.363,12.618,1.994,1.635,0
05481920-7027449,4.197,17.803,15.809,14.064,12.697,1.994,1.745,4
05105981-6920561,3.867,18.489,16.494,14.826,13.12,1.995,1.668,0
05095208-6908531,4.058,17.875,15.878,14.363,12.912,1.997,1.515,4
05253827-6554247,4.147,17.909,15.911,14.267,11.748,1.998,1.644,4
05102628-6848282,4.278,17.581,15.583,13.832,12.233,1.998,1.751,4
04543580-7019338,4.291,18.024,16.026,14.266,12.282,1.998,1.76,4
05181387-6900213,4.111,18.024,16.026,14.395,12.678,1.998,1.631,0
05004874-6550576,5.15,16.407,14.408,12.55,10.225,1.999,1.858,4
04550856-6955349,4.477,17.323,15.324,13.496,11.685,1.999,1.828,4
05145966-6940253,4.931,16.823,14.824,12.826,99.999,1.999,1.998,4
05194511-6814215,3.687,18.62,16.621,15.107,13.562,1.999,1.514,0
05102821-6827027,3.662,18.911,16.911,15.304,13.773,2,1.607,0
05463985-6925349,4.406,18.155,16.154,14.237,12.099,2.001,1.917,4
05055339-6908249,4.064,17.969,15.968,14.306,12.892,2.001,1.662,0
05322923-6739388,3.837,19.119,17.118,15.394,13.466,2.001,1.724,4
04410434-6913588,3.992,18.788,16.786,15.058,13.08,2.002,1.728,0
05041586-6858313,3.963,18.414,16.412,14.871,13.111,2.002,1.541,4
04570329-6832124,3.71,19.158,17.156,15.463,13.651,2.002,1.693,4
04470120-6939180,3.725,18.841,16.838,15.234,13.634,2.003,1.604,4
05252879-6951013,3.651,18.871,16.868,15.46,13.802,2.003,1.408,0
05125682-6910018,4.09,17.94,15.937,14.277,12.741,2.003,1.66,4
05241979-6953028,3.737,18.203,16.199,15.063,13.504,2.004,1.136,0
05065262-6859166,3.676,18.941,16.937,15.344,13.869,2.004,1.593,4
05425639-7052187,3.639,18.839,16.834,15.234,13.808,2.005,1.6,4
05255576-6915312,4.327,17.506,15.501,13.677,12.038,2.005,1.824,0
05080646-6911131,3.884,18.468,16.462,14.778,13.504,2.006,1.684,0
04472548-6910153,3.684,19.065,17.057,15.469,13.762,2.008,1.588,4
05235249-6952292,3.652,18.753,16.744,15.325,13.538,2.009,1.419,3
05244583-6829332,4.97,16.783,14.774,12.826,99.999,2.009,1.948,4
05360457-6929269,4.464,17.677,15.667,13.647,11.863,2.01,2.02,4
05540631-6937237,4.462,17.811,15.8,14.002,11.857,2.011,1.798,0
05263755-6820127,3.62,18.832,16.821,15.285,13.82,2.011,1.536,4
04511946-6905474,3.811,18.895,16.883,15.189,13.46,2.012,1.694,4
05041753-6821291,4.214,17.907,15.894,14.192,12.28,2.013,1.702,4
05322515-6623319,4.034,18.551,16.537,14.902,12.881,2.014,1.635,4
05053198-6909230,4.039,18.479,16.465,14.76,13.135,2.014,1.705,4
05253590-6845477,4.291,17.858,15.844,14.01,11.026,2.014,1.834,0
05112824-7032327,3.978,17.98,15.966,14.372,12.889,2.014,1.594,0
05280088-6534199,4.473,17.385,15.37,13.636,99.999,2.015,1.734,0
05301735-7044053,3.916,18.015,15.999,14.463,13.093,2.016,1.536,4
05040859-6602483,4.239,18.324,16.306,14.458,11.261,2.018,1.848,4
05354180-6739194,4.131,18.437,16.419,14.568,11.919,2.018,1.851,4
05481146-7059547,4.381,18.247,16.228,14.255,12.127,2.019,1.973,4
04544047-7021282,4.231,17.941,15.922,14.18,12.405,2.019,1.742,4
05131137-7033440,3.53,19.432,17.413,15.818,14.143,2.019,1.595,0
05194103-6924447,4.211,17.895,15.876,14.308,12.333,2.019,1.568,0
05324700-6709442,4.451,17.293,15.274,13.556,99.999,2.019,1.718,4
04513462-6937294,4.455,17.849,15.829,13.89,11.84,2.02,1.939,4
05493781-6839366,3.852,18.485,16.465,14.915,13.253,2.02,1.55,4
04483029-7029451,3.807,18.637,16.617,14.991,13.407,2.02,1.626,4
05163586-6941134,3.73,18.537,16.517,15.16,13.557,2.02,1.357,4
05230535-7002115,3.82,18.402,16.381,14.74,13.317,2.021,1.641,0
05155812-6927025,3.619,19.123,17.102,15.537,13.807,2.021,1.565,4
05401986-7029094,4.493,17.974,15.952,14.147,11.844,2.022,1.805,4
05113423-6908345,4.294,17.997,15.975,14.142,12.442,2.022,1.833,0
04502156-6935342,3.809,18.815,16.793,15.113,13.461,2.022,1.68,4
05052788-6901029,3.612,19.167,17.145,15.526,13.983,2.022,1.619,0
05362838-6904509,4.399,18.081,16.058,14.189,10.637,2.023,1.869,4
05054588-6838541,4.479,17.576,15.552,13.767,11.968,2.024,1.785,0
05312578-6553391,3.783,18.85,16.825,15.167,13.416,2.025,1.658,4
05222112-6555516,3.661,19.17,17.145,15.499,13.799,2.025,1.646,4
04521422-6902400,4.4,17.641,15.615,13.79,11.789,2.026,1.825,4
05211506-7003084,3.768,18.99,16.964,15.391,13.549,2.026,1.573,0
05270557-6904488,4.362,17.596,15.57,13.917,99.999,2.026,1.653,4
05072349-7030320,4.312,17.446,15.42,13.705,12.132,2.026,1.715,4
05205011-6843531,3.725,18.823,16.794,15.15,13.587,2.029,1.644,4
05495978-6946036,3.778,19.148,17.119,15.443,13.588,2.029,1.676,4
05070565-7032439,5.455,15.853,13.824,11.756,99.999,2.029,2.068,4
05305084-6725095,4.5,17.263,15.234,13.456,10.054,2.029,1.778,4
05400778-6710021,3.66,19.205,17.175,15.516,13.853,2.03,1.659,4
05153879-6914270,4.403,18.038,16.007,14.149,11.99,2.031,1.858,0
05441069-6943587,4.036,18.462,16.431,14.794,12.783,2.031,1.637,4
05171862-6926150,4.001,18.194,16.163,14.596,12.895,2.031,1.567,0
05142435-6821130,3.957,20.343,18.312,16.363,99.999,2.031,1.949,0
05080992-7022351,3.856,18.63,16.598,15.029,13.295,2.032,1.569,0
05352832-6656024,5.358,16.088,14.056,12.107,99.999,2.032,1.949,4
05140320-6914086,3.851,18.505,16.471,14.687,13.28,2.034,1.784,4
05262497-7200380,3.724,19.093,17.059,15.375,13.683,2.034,1.684,4
05330022-6700558,4.609,17.23,15.196,13.364,13.117,2.034,1.832,4
05290458-7144012,3.526,19.423,17.388,15.779,14.165,2.035,1.609,0
05413791-7008528,4.565,17.496,15.461,13.572,11.563,2.035,1.889,3
04551746-6920047,4.173,18.139,16.104,14.348,12.577,2.035,1.756,4
04414982-6859214,3.942,18.674,16.639,14.935,12.966,2.035,1.704,0
05453696-6715323,3.608,19.614,17.579,15.919,14.03,2.035,1.66,4
05445802-6808056,4.224,18.354,16.318,14.516,12.501,2.036,1.802,4
05113951-6902334,3.926,18.23,16.194,14.486,13.143,2.036,1.708,4
05250514-7152356,3.569,19.019,16.98,15.424,13.946,2.039,1.556,4
05034854-7023110,3.843,18.889,16.849,15.129,13.301,2.04,1.72,4
04582816-7029403,4.169,17.999,15.958,14.25,12.509,2.041,1.708,4
05375799-6726087,3.807,18.965,16.924,15.264,13.468,2.041,1.66,0
05395655-6721340,4.232,17.531,15.489,13.82,10.883,2.042,1.669,4
05061978-6907297,4.063,18.284,16.242,14.613,13.12,2.042,1.629,0
05340808-6944304,3.621,19.107,17.065,15.733,13.94,2.042,1.332,0
05492369-6909101,4.237,17.89,15.847,14.159,12.399,2.043,1.688,4
05335913-6633551,4.875,16.474,14.431,12.528,99.999,2.043,1.903,0
04503763-6849380,3.716,18.856,16.812,15.176,13.674,2.044,1.636,4
05413857-6914095,4.551,17.792,15.748,13.869,11.754,2.044,1.879,4
05204690-6938566,4.404,17.321,15.277,13.713,12.183,2.044,1.564,0
05191103-6903057,4.156,18.184,16.139,14.276,12.443,2.045,1.863,0
05193983-7034437,3.743,18.547,16.501,15.005,13.505,2.046,1.496,4
05414150-6911518,4.592,17.887,15.841,13.858,10.08,2.046,1.983,3
05175106-6824346,4.334,17.416,15.37,13.644,11.711,2.046,1.726,0
05050544-6911157,3.943,18.598,16.551,14.804,13.305,2.047,1.747,0
05045527-7025107,4.19,17.949,15.902,14.354,12.616,2.047,1.548,4
