Umag,Bmag,Vmag,Imag,U-B,B-V,UV
16.985,16.407,14.97,13.498,0.578,1.437,4
16.167,15.587,14.628,13.457,0.58,0.959,3
17.026,16.438,15.067,13.613,0.588,1.371,0
14.913,14.324,13.466,11.392,0.589,0.858,0
17.091,16.495,15.238,13.736,0.596,1.257,4
17.362,16.758,16.265,99.999,0.604,0.493,4
17.26,16.655,14.683,14.002,0.605,1.972,4
16.66,16.049,14.924,13.477,0.611,1.125,3
14.514,13.891,14.134,12.47,0.623,-0.243,2
16.931,16.304,14.585,13.339,0.627,1.719,0
16.693,16.066,14.724,13.397,0.627,1.342,3
16.76,16.131,14.652,13.166,0.629,1.479,0
17.233,16.603,15.305,13.76,0.63,1.298,3
15.949,15.317,13.797,10.617,0.632,1.52,0
16.043,15.409,13.698,10.735,0.634,1.711,3
15.48,14.843,13.46,9.581,0.637,1.383,3
16.999,16.354,14.947,13.466,0.645,1.407,3
16.492,15.847,14.645,13.382,0.645,1.202,3
15.961,15.314,13.914,12.115,0.647,1.4,3
17.072,16.421,15.188,13.846,0.651,1.233,0
16.787,16.133,14.935,13.602,0.654,1.198,3
16.95,16.288,15.053,13.266,0.662,1.235,4
17.294,16.632,15.309,13.949,0.662,1.323,4
16.611,15.947,14.701,13.611,0.664,1.246,3
15.493,14.824,13.476,99.999,0.669,1.348,4
15.875,15.198,13.174,99.999,0.677,2.024,3
16.644,15.961,14.54,12.711,0.683,1.421,4
18.253,17.567,15.476,14.104,0.686,2.091,4
16.502,15.815,14.925,13.687,0.687,0.89,0
16.776,16.086,14.681,12.839,0.69,1.405,4
16.951,16.255,14.529,12.962,0.696,1.726,4
16.282,15.585,14.055,12.468,0.697,1.53,3
16.948,16.249,15.016,13.59,0.699,1.233,0
17.001,16.301,15.034,13.631,0.7,1.267,3
16.433,15.732,14.239,12.586,0.701,1.493,3
16.963,16.262,14.945,13.875,0.701,1.317,4
16.264,15.561,14.083,12.571,0.703,1.478,2
20.04,19.337,17.331,14.414,0.703,2.006,4
17.439,16.733,15.197,13.484,0.706,1.536,3
15.573,14.864,13.346,11.284,0.709,1.518,3
16.933,16.223,14.783,13.653,0.71,1.44,0
16.859,16.144,14.328,13.804,0.715,1.816,4
16.74,16.021,14.846,13.519,0.719,1.175,3
15.783,15.064,13.566,11.88,0.719,1.498,4
16.023,15.302,13.629,11.242,0.721,1.673,0
17.035,16.314,14.857,13.313,0.721,1.457,4
17.197,16.475,15.043,13.427,0.722,1.432,4
16.839,16.114,14.85,13.42,0.725,1.264,3
17.216,16.489,15.245,13.86,0.727,1.244,4
16.458,15.725,14.974,13.638,0.733,0.751,3
15.947,15.213,13.73,11.847,0.734,1.483,3
17.64,16.903,15.497,14.053,0.737,1.406,4
17.01,16.268,15.025,13.729,0.742,1.243,4
16.45,15.707,14.125,10.891,0.743,1.582,4
16.764,16.019,14.772,13.455,0.745,1.247,4
15.868,15.121,13.663,99.999,0.747,1.458,3
17.357,16.609,15.159,13.757,0.748,1.45,4
15.473,14.724,13.056,99.999,0.749,1.668,0
16.935,16.178,14.262,12.744,0.757,1.916,4
17.707,16.95,15.601,13.249,0.757,1.349,4
16.803,16.044,14.853,13.643,0.759,1.191,0
17.148,16.388,15.203,13.401,0.76,1.185,0
17.265,16.501,15.147,13.684,0.764,1.354,4
16.143,15.374,13.726,10.962,0.769,1.648,4
15.493,14.724,13.276,11.7,0.769,1.448,1
17.725,16.951,15.453,13.882,0.774,1.498,0
16.509,15.734,14.249,12.134,0.775,1.485,4
17.239,16.463,15.207,13.87,0.776,1.256,4
17.479,16.703,15.309,13.973,0.776,1.394,4
16.749,15.966,14.646,13.341,0.783,1.32,4
17.574,16.789,15.361,13.837,0.785,1.428,0
15.513,14.727,13.158,11.051,0.786,1.569,4
15.843,15.054,13.506,11.872,0.789,1.548,0
17.207,16.418,15.084,99.999,0.789,1.334,3
15.64,14.848,13.223,10.589,0.792,1.625,2
16.701,15.905,14.707,13.092,0.796,1.198,3
17.095,16.297,14.923,13.572,0.798,1.374,4
17.111,16.313,15.082,13.771,0.798,1.231,3
17.184,16.381,15.027,13.528,0.803,1.354,4
16.738,15.934,15.111,15.372,0.804,0.823,4
15.713,14.904,13.156,11.007,0.809,1.748,4
15.923,15.114,13.336,99.999,0.809,1.778,4
16.952,16.143,14.793,13.37,0.809,1.35,0
17.098,16.288,14.976,13.918,0.81,1.312,4
16.102,15.292,13.676,11.937,0.81,1.616,1
16.403,15.59,14.029,11.782,0.813,1.561,3
19.756,18.943,17.337,14.226,0.813,1.606,4
16.93,16.111,14.71,13.331,0.819,1.401,0
16.669,15.849,14.136,12.784,0.82,1.713,0
18.156,17.335,15.295,14.069,0.821,2.04,0
16.712,15.889,14.532,12.991,0.823,1.357,4
17.182,16.358,15.065,13.723,0.824,1.293,3
16.538,15.713,14.267,12.645,0.825,1.446,3
17.306,16.478,14.958,13.51,0.828,1.52,4
16.834,16.003,14.559,12.886,0.831,1.444,4
17.009,16.176,14.937,13.066,0.833,1.239,4
17.055,16.218,14.663,13.094,0.837,1.555,4
17.603,16.763,15.072,13.751,0.84,1.691,4
17.434,16.594,15.147,13.807,0.84,1.447,2
19.636,18.795,15.718,14.083,0.841,3.077,0
16.496,15.646,14.093,11.331,0.85,1.553,3
15.9,15.048,15.252,13.312,0.852,-0.204,0
16.994,16.138,14.959,13.639,0.856,1.179,3
17.357,16.495,14.866,12.562,0.862,1.629,0
17.065,16.201,14.759,14.212,0.864,1.442,4
17.018,16.153,14.588,12.975,0.865,1.565,4
15.656,14.788,13.045,99.999,0.868,1.743,4
15.964,15.095,13.587,10.528,0.869,1.508,4
17.252,16.383,15.026,13.669,0.869,1.357,4
17.299,16.425,14.975,12.638,0.874,1.45,0
16.239,15.363,13.801,99.999,0.876,1.562,4
17.621,16.744,15.045,11.931,0.877,1.699,4
17.266,16.388,13.482,9.037,0.878,2.906,4
16.631,15.752,14.351,12.808,0.879,1.401,3
19.372,18.492,16.651,14.303,0.88,1.841,0
17.326,16.444,14.815,13.049,0.882,1.629,4
16.967,16.084,14.826,13.62,0.883,1.258,0
17.286,16.4,14.986,13.527,0.886,1.414,4
16.929,16.039,14.248,11.658,0.89,1.791,4
17.036,16.144,14.732,13.4,0.892,1.412,4
18.179,17.283,15.742,13.737,0.896,1.541,4
16.839,15.942,14.63,13.549,0.897,1.312,0
18.319,17.422,15.818,14.089,0.897,1.604,4
17.121,16.223,14.759,13.172,0.898,1.464,0
17.266,16.368,14.933,13.408,0.898,1.435,3
16.003,15.104,13.506,11.374,0.899,1.598,0
16.89,15.991,14.76,13.521,0.899,1.231,4
